source,target,weight,relationship
Guinea,Russia,1,CO_OCCURS_WITH
Guinea,Rwanda,1,CO_OCCURS_WITH
Guinea,Saint Kitts,1,CO_OCCURS_WITH
Guinea,Singapore,1,CO_OCCURS_WITH
Guinea,Slovakia,1,CO_OCCURS_WITH
Guinea,Solomon Islands Somalia,1,CO_OCCURS_WITH
Guinea,South Africa,1,CO_OCCURS_WITH
Canada,the United Kingdom,1,CO_OCCURS_WITH
Guinea,Niue North,1,CO_OCCURS_WITH
Guinea,Nicaragua,1,CO_OCCURS_WITH
China,France,1,CO_OCCURS_WITH
Micronesia Moldova,Mongolia,1,CO_OCCURS_WITH
Micronesia Moldova,North Korea,1,CO_OCCURS_WITH
Micronesia Moldova,South Korea,1,CO_OCCURS_WITH
Monaco,Mongolia,1,CO_OCCURS_WITH
Monaco,North Korea,1,CO_OCCURS_WITH
Monaco,South Korea,1,CO_OCCURS_WITH
Mongolia,North Korea,1,CO_OCCURS_WITH
China,Germany,1,CO_OCCURS_WITH
Mongolia,South Korea,1,CO_OCCURS_WITH
Guinea,New Zealand,1,CO_OCCURS_WITH
North Korea,South Korea,1,CO_OCCURS_WITH
Guinea,Kyoto,1,CO_OCCURS_WITH
Guinea,Montenegro,1,CO_OCCURS_WITH
Guinea,Morocco Mozambique,1,CO_OCCURS_WITH
Guinea,Namibia,1,CO_OCCURS_WITH
Guinea,Nepal,1,CO_OCCURS_WITH
Guinea,Netherlands,1,CO_OCCURS_WITH
Guinea,Nevis Saint,1,CO_OCCURS_WITH
Guinea,Spain,1,CO_OCCURS_WITH
Guinea,Sri Lanka,1,CO_OCCURS_WITH
Canada,Italy,1,CO_OCCURS_WITH
Kyoto,Sri Lanka,1,CO_OCCURS_WITH
Canada,France,1,CO_OCCURS_WITH
Kyoto,Rwanda,1,CO_OCCURS_WITH
Kyoto,Saint Kitts,1,CO_OCCURS_WITH
Kyoto,Singapore,1,CO_OCCURS_WITH
Kyoto,Slovakia,1,CO_OCCURS_WITH
Kyoto,Solomon Islands Somalia,1,CO_OCCURS_WITH
Kyoto,South Africa,1,CO_OCCURS_WITH
Kyoto,Spain,1,CO_OCCURS_WITH
Brazil,the United States,1,CO_OCCURS_WITH
Kyoto,Qatar,1,CO_OCCURS_WITH
Kyoto,Sweden,1,CO_OCCURS_WITH
Kyoto,Switzerland,1,CO_OCCURS_WITH
Kyoto,the Grenadines Samoa San Marino São Tomé,1,CO_OCCURS_WITH
Montenegro,Morocco Mozambique,1,CO_OCCURS_WITH
Montenegro,Namibia,1,CO_OCCURS_WITH
Montenegro,Nepal,1,CO_OCCURS_WITH
Montenegro,Netherlands,1,CO_OCCURS_WITH
Montenegro,Nevis Saint,1,CO_OCCURS_WITH
Kyoto,Romania,1,CO_OCCURS_WITH
Kyoto,Príncipe Saudi Arabia,1,CO_OCCURS_WITH
Guinea,Sweden,1,CO_OCCURS_WITH
Kyoto,Nicaragua,1,CO_OCCURS_WITH
Guinea,Switzerland,1,CO_OCCURS_WITH
Guinea,the Grenadines Samoa San Marino São Tomé,1,CO_OCCURS_WITH
Kyoto,Montenegro,1,CO_OCCURS_WITH
Kyoto,Morocco Mozambique,1,CO_OCCURS_WITH
Kyoto,Namibia,1,CO_OCCURS_WITH
Kyoto,Nepal,1,CO_OCCURS_WITH
Kyoto,Netherlands,1,CO_OCCURS_WITH
Kyoto,Nevis Saint,1,CO_OCCURS_WITH
Kyoto,Niue North,1,CO_OCCURS_WITH
Kyoto,Portugal,1,CO_OCCURS_WITH
Kyoto,Norway,1,CO_OCCURS_WITH
Kyoto,Oman,1,CO_OCCURS_WITH
Kyoto,Pakistan,1,CO_OCCURS_WITH
Canada,India,1,CO_OCCURS_WITH
Kyoto,Palau,1,CO_OCCURS_WITH
Kyoto,Philippines,1,CO_OCCURS_WITH
Canada,Germany,1,CO_OCCURS_WITH
Kyoto,Poland,1,CO_OCCURS_WITH
Micronesia Moldova,Monaco,1,CO_OCCURS_WITH
Mexico,North Korea,1,CO_OCCURS_WITH
Lithuania,Mexico,1,CO_OCCURS_WITH
Mexico,Mongolia,1,CO_OCCURS_WITH
Luxembourg,Mexico,1,CO_OCCURS_WITH
Luxembourg,Micronesia Moldova,1,CO_OCCURS_WITH
Luxembourg,Monaco,1,CO_OCCURS_WITH
Japan,the United Kingdom,1,CO_OCCURS_WITH
Italy,the United States,1,CO_OCCURS_WITH
Luxembourg,Mongolia,1,CO_OCCURS_WITH
Luxembourg,North Korea,1,CO_OCCURS_WITH
Luxembourg,South Korea,1,CO_OCCURS_WITH
Italy,the United Kingdom,1,CO_OCCURS_WITH
Italy,South Africa,1,CO_OCCURS_WITH
Madagascar Malawi,Malaysia,1,CO_OCCURS_WITH
Italy,Russia,1,CO_OCCURS_WITH
Madagascar Malawi,Maldives Mali,1,CO_OCCURS_WITH
India,the United States,1,CO_OCCURS_WITH
India,the United Kingdom,1,CO_OCCURS_WITH
India,South Africa,1,CO_OCCURS_WITH
India,Russia,1,CO_OCCURS_WITH
Madagascar Malawi,Mauritania,1,CO_OCCURS_WITH
Madagascar Malawi,Mexico,1,CO_OCCURS_WITH
Mexico,Russia,1,CO_OCCURS_WITH
Luxembourg,Mauritania,1,CO_OCCURS_WITH
Luxembourg,Maldives Mali,1,CO_OCCURS_WITH
South Africa,the United States,1,CO_OCCURS_WITH
Lithuania,Micronesia Moldova,1,CO_OCCURS_WITH
Kiribati,Kyrgyzstan,1,CO_OCCURS_WITH
Rio,The United Nations Climate Change Conference,1,CO_OCCURS_WITH
Copenhagen,The United Nations Climate Change Conference,1,CO_OCCURS_WITH
Lithuania,Monaco,1,CO_OCCURS_WITH
Copenhagen,Rio,1,CO_OCCURS_WITH
Lithuania,Mongolia,1,CO_OCCURS_WITH
the United Kingdom,the United States,1,CO_OCCURS_WITH
South Africa,the United Kingdom,1,CO_OCCURS_WITH
Luxembourg,Malaysia,1,CO_OCCURS_WITH
Russia,the United States,1,CO_OCCURS_WITH
Russia,the United Kingdom,1,CO_OCCURS_WITH
Mexico,the United States,1,CO_OCCURS_WITH
Mexico,the United Kingdom,1,CO_OCCURS_WITH
Lithuania,North Korea,1,CO_OCCURS_WITH
Mexico,South Africa,1,CO_OCCURS_WITH
Lithuania,South Korea,1,CO_OCCURS_WITH
Luxembourg,Madagascar Malawi,1,CO_OCCURS_WITH
Madagascar Malawi,Micronesia Moldova,1,CO_OCCURS_WITH
Madagascar Malawi,Monaco,1,CO_OCCURS_WITH
Germany,the United States,1,CO_OCCURS_WITH
Maldives Mali,North Korea,1,CO_OCCURS_WITH
Malaysia,Mongolia,1,CO_OCCURS_WITH
Malaysia,North Korea,1,CO_OCCURS_WITH
Malaysia,South Korea,1,CO_OCCURS_WITH
Maldives Mali,Mauritania,1,CO_OCCURS_WITH
Maldives Mali,Mexico,1,CO_OCCURS_WITH
Maldives Mali,Micronesia Moldova,1,CO_OCCURS_WITH
Maldives Mali,Monaco,1,CO_OCCURS_WITH
Maldives Mali,Mongolia,1,CO_OCCURS_WITH
Maldives Mali,South Korea,1,CO_OCCURS_WITH
China,Italy,1,CO_OCCURS_WITH
Mauritania,Mexico,1,CO_OCCURS_WITH
Mauritania,Micronesia Moldova,1,CO_OCCURS_WITH
Mauritania,Monaco,1,CO_OCCURS_WITH
Mauritania,Mongolia,1,CO_OCCURS_WITH
Mauritania,North Korea,1,CO_OCCURS_WITH
Mauritania,South Korea,1,CO_OCCURS_WITH
Mexico,Micronesia Moldova,1,CO_OCCURS_WITH
Mexico,Monaco,1,CO_OCCURS_WITH
Malaysia,Monaco,1,CO_OCCURS_WITH
China,Mexico,1,CO_OCCURS_WITH
Germany,the United Kingdom,1,CO_OCCURS_WITH
France,the United States,1,CO_OCCURS_WITH
Germany,South Africa,1,CO_OCCURS_WITH
Germany,Russia,1,CO_OCCURS_WITH
Germany,Mexico,1,CO_OCCURS_WITH
Madagascar Malawi,Mongolia,1,CO_OCCURS_WITH
Madagascar Malawi,North Korea,1,CO_OCCURS_WITH
